Row,Col,D_Base,D_Med,D_MedT,D_Tip,S_Total,S_Prox,S_Dist,M_Total,M_Prox,M_Dist,Slope_R,Slope_D,Ratio_R,DatasetID,RatNum,Strain,Sex,Side,,Legend:,,,,,,,,,
4,2,0.156,NaN,NaN,0.002,35,NaN,NaN,NaN,NaN,NaN,0.00220,0.00440,78,2,1,3,1,NaN,,,,,,,,,,,
4,3,0.135,NaN,NaN,0.002,26,NaN,NaN,NaN,NaN,NaN,0.00256,0.00512,68,2,1,3,1,NaN,,,,,,,,,,,
4,4,0.112,NaN,NaN,0.001,18,NaN,NaN,NaN,NaN,NaN,0.00308,0.00617,112,2,1,3,1,NaN,,,,,,,,,,,
5,1,0.187,NaN,NaN,0.005,47,NaN,NaN,NaN,NaN,NaN,0.00194,0.00387,37,2,1,3,1,NaN,,,,,,,,,,,
5,2,0.175,NaN,NaN,0.006,34,NaN,NaN,NaN,NaN,NaN,0.00249,0.00497,29,2,1,3,1,NaN,,,,,,,,,,,
5,3,0.150,NaN,NaN,0.003,26,NaN,NaN,NaN,NaN,NaN,0.00283,0.00565,50,2,1,3,1,NaN,,,,,,,,,,,
5,4,0.115,NaN,NaN,0.003,18,NaN,NaN,NaN,NaN,NaN,0.00311,0.00622,38,2,1,3,1,NaN,,,,,,,,,,,
2,0,0.180,NaN,NaN,0.005,52,NaN,NaN,NaN,NaN,NaN,0.00168,0.00337,36,3,1,3,0,NaN,,,,,,,,,,,
1,1,0.169,NaN,NaN,0.005,44,NaN,NaN,NaN,NaN,NaN,0.00186,0.00373,34,3,1,3,0,NaN,,,,,,,,,,,
1,2,0.122,NaN,NaN,0.005,31,NaN,NaN,NaN,NaN,NaN,0.00189,0.00377,24,3,1,3,0,NaN,,,,,,,,,,,
1,3,0.111,NaN,NaN,0.005,22,NaN,NaN,NaN,NaN,NaN,0.00241,0.00482,22,3,1,3,0,NaN,,,,,,,,,,,
1,4,0.088,NaN,NaN,0.005,14,NaN,NaN,NaN,NaN,NaN,0.00296,0.00593,18,3,1,3,0,NaN,,,,,,,,,,,
1,0,0.209,NaN,NaN,0.004,52,NaN,NaN,NaN,NaN,NaN,0.00197,0.00394,52,4,1,1,1,NaN,,,,,,,,,,,
2,0,0.144,NaN,NaN,0.002,54,NaN,NaN,NaN,NaN,NaN,0.00131,0.00263,72,4,1,1,1,NaN,,,,,,,,,,,
3,0,0.202,NaN,NaN,0.008,60,NaN,NaN,NaN,NaN,NaN,0.00162,0.00323,25,4,1,1,1,NaN,,,,,,,,,,,
4,0,0.171,NaN,NaN,0.005,56,NaN,NaN,NaN,NaN,NaN,0.00148,0.00296,34,4,1,1,1,NaN,,,,,,,,,,,
1,1,0.139,NaN,NaN,0.003,49,NaN,NaN,NaN,NaN,NaN,0.00139,0.00278,46,4,1,1,1,NaN,,,,,,,,,,,
2,1,0.189,NaN,NaN,0.005,49,NaN,NaN,NaN,NaN,NaN,0.00188,0.00376,38,4,1,1,1,NaN,,,,,,,,,,,
3,1,0.220,NaN,NaN,0.006,53,NaN,NaN,NaN,NaN,NaN,0.00202,0.00404,37,4,1,1,1,NaN,,,,,,,,,,,
4,1,0.252,NaN,NaN,0.004,49,NaN,NaN,NaN,NaN,NaN,0.00253,0.00506,63,4,1,1,1,NaN,,,,,,,,,,,
5,1,0.187,NaN,NaN,0.010,48,NaN,NaN,NaN,NaN,NaN,0.00184,0.00369,19,4,1,1,1,NaN,,,,,,,,,,,
1,2,0.133,NaN,NaN,0.014,37,NaN,NaN,NaN,NaN,NaN,0.00161,0.00322,10,4,1,1,1,NaN,,,,,,,,,,,
2,2,0.162,NaN,NaN,0.047,31,NaN,NaN,NaN,NaN,NaN,0.00185,0.00371,3,4,1,1,1,NaN,,,,,,,,,,,
3,2,0.117,NaN,NaN,0.005,30,NaN,NaN,NaN,NaN,NaN,0.00187,0.00373,23,4,1,1,1,NaN,,,,,,,,,,,
4,2,0.180,NaN,NaN,0.010,35,NaN,NaN,NaN,NaN,NaN,0.00243,0.00486,18,4,1,1,1,NaN,,,,,,,,,,,
5,2,0.171,NaN,NaN,0.011,35,NaN,NaN,NaN,NaN,NaN,0.00229,0.00457,16,4,1,1,1,NaN,,,,,,,,,,,
1,3,0.083,NaN,NaN,0.002,23,NaN,NaN,NaN,NaN,NaN,0.00176,0.00352,42,4,1,1,1,NaN,,,,,,,,,,,
2,3,0.212,NaN,NaN,0.003,26,NaN,NaN,NaN,NaN,NaN,0.00402,0.00804,71,4,1,1,1,NaN,,,,,,,,,,,
3,3,0.158,NaN,NaN,0.008,35,NaN,NaN,NaN,NaN,NaN,0.00214,0.00429,20,4,1,1,1,NaN,,,,,,,,,,,
