Row,Col,D_Base,D_Med,D_MedT,D_Tip,S_Total,S_Prox,S_Dist,M_Total,M_Prox,M_Dist,Slope_R,Slope_D,Ratio_R,DatasetID,RatNum,Strain,Sex,Side,,Legend:,,,
2,1,0.134,NaN,NaN,NaN,42.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
2,2,0.118,NaN,NaN,NaN,30.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
2,3,0.092,NaN,NaN,NaN,19.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
2,4,0.065,NaN,NaN,NaN,10.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
2,0,0.135,NaN,NaN,NaN,46.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
3,1,0.157,NaN,NaN,NaN,43.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
3,2,0.132,NaN,NaN,NaN,32.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
3,3,0.115,NaN,NaN,NaN,21.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
3,4,0.087,NaN,NaN,NaN,13.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
3,5,0.063,NaN,NaN,NaN,8.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
4,1,0.141,NaN,NaN,NaN,43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
4,2,0.141,NaN,NaN,NaN,32.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
4,3,0.134,NaN,NaN,NaN,23.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
4,4,0.096,NaN,NaN,NaN,15.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
4,5,0.085,NaN,NaN,NaN,10.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
4,6,0.069,NaN,NaN,NaN,6.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
4,7,0.047,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
4,0,0.186,NaN,NaN,NaN,52.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
5,1,0.172,NaN,NaN,NaN,42.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
5,2,0.133,NaN,NaN,NaN,27.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
5,3,0.133,NaN,NaN,NaN,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
5,4,0.107,NaN,NaN,NaN,14.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
5,5,0.084,NaN,NaN,NaN,9.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
5,6,0.066,NaN,NaN,NaN,6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
5,7,0.055,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
3,0,0.166,NaN,NaN,NaN,50.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,1,2,1,1,,,,,
1,1,0.109,NaN,NaN,NaN,34.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
1,2,0.098,NaN,NaN,NaN,24.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
1,3,0.07,NaN,NaN,NaN,14.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
1,4,0.053,NaN,NaN,NaN,9.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
1,0,0.118,NaN,NaN,NaN,45.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
2,1,0.125,NaN,NaN,NaN,45.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
2,2,0.105,NaN,NaN,NaN,28.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
2,3,0.09,NaN,NaN,NaN,19.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
2,4,0.071,NaN,NaN,NaN,10.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
2,0,0.13,NaN,NaN,NaN,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
3,1,0.148,NaN,NaN,NaN,34.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
3,2,0.14,NaN,NaN,NaN,33.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
3,3,0.083,NaN,NaN,NaN,22.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
3,4,0.089,NaN,NaN,NaN,13.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
3,5,0.059,NaN,NaN,NaN,7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
3,6,0.043,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
4,1,0.157,NaN,NaN,NaN,47.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
4,2,0.156,NaN,NaN,NaN,36.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
4,3,0.135,NaN,NaN,NaN,25.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
4,4,0.108,NaN,NaN,NaN,15.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
4,5,0.085,NaN,NaN,NaN,9.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
4,6,0.061,NaN,NaN,NaN,7.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
4,7,0.052,NaN,NaN,NaN,5.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
4,0,0.079,NaN,NaN,NaN,30.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
5,1,0.179,NaN,NaN,NaN,47.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
5,2,0.152,NaN,NaN,NaN,38.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
5,3,0.146,NaN,NaN,NaN,24.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
5,4,0.11,NaN,NaN,NaN,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
5,5,0.083,NaN,NaN,NaN,9.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
5,6,0.064,NaN,NaN,NaN,6.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
5,7,0.048,NaN,NaN,NaN,5.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
5,8,0.047,NaN,NaN,NaN,4.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
3,0,0.145,NaN,NaN,NaN,51.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,0,,,,,
1,1,0.1,NaN,NaN,NaN,34.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
1,3,0.079,NaN,NaN,NaN,16.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
1,4,0.057,NaN,NaN,NaN,11.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
1,0,0.106,NaN,NaN,NaN,37.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
2,1,0.091,NaN,NaN,NaN,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
2,2,0.1,NaN,NaN,NaN,21.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
2,3,0.095,NaN,NaN,NaN,20.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
2,4,0.067,NaN,NaN,NaN,10.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
2,0,0.133,NaN,NaN,NaN,46.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
3,1,0.15,NaN,NaN,NaN,34.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
3,2,0.141,NaN,NaN,NaN,32.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
3,3,0.112,NaN,NaN,NaN,22.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
3,4,0.089,NaN,NaN,NaN,13.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
3,5,0.053,NaN,NaN,NaN,7.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
4,1,0.155,NaN,NaN,NaN,47.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
4,2,0.15,NaN,NaN,NaN,37.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
4,3,0.139,NaN,NaN,NaN,25.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
4,4,0.12,NaN,NaN,NaN,17.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
4,5,0.091,NaN,NaN,NaN,10.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
4,0,0.155,NaN,NaN,NaN,52.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
5,1,0.171,NaN,NaN,NaN,45.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
5,2,0.162,NaN,NaN,NaN,37.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
5,3,0.137,NaN,NaN,NaN,24.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
5,5,0.086,NaN,NaN,NaN,9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
5,6,0.074,NaN,NaN,NaN,7.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
5,7,0.068,NaN,NaN,NaN,6.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
3,0,0.152,NaN,NaN,NaN,51.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,2,2,1,1,,,,,
1,1,0.116,NaN,NaN,NaN,33.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
1,2,0.092,NaN,NaN,NaN,26.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
1,3,0.068,NaN,NaN,NaN,16.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
1,4,0.043,NaN,NaN,NaN,8.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
1,0,0.106,NaN,NaN,NaN,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
2,1,0.133,NaN,NaN,NaN,42.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
2,2,0.118,NaN,NaN,NaN,31.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
2,3,0.088,NaN,NaN,NaN,20.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
2,0,0.09,NaN,NaN,NaN,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
3,1,0.154,NaN,NaN,NaN,45.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
3,2,0.138,NaN,NaN,NaN,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
3,3,0.11,NaN,NaN,NaN,23.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
3,4,0.074,NaN,NaN,NaN,11.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
3,5,0.06,NaN,NaN,NaN,7.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
4,1,0.178,NaN,NaN,NaN,42.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
4,2,0.145,NaN,NaN,NaN,35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
4,3,0.136,NaN,NaN,NaN,23.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
4,4,0.106,NaN,NaN,NaN,17.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
4,5,0.085,NaN,NaN,NaN,10.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
4,0,0.169,NaN,NaN,NaN,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
5,1,0.183,NaN,NaN,NaN,46.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
5,2,0.163,NaN,NaN,NaN,37.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
5,3,0.157,NaN,NaN,NaN,25.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
5,4,0.113,NaN,NaN,NaN,15.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
5,5,0.087,NaN,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
5,6,0.071,NaN,NaN,NaN,7.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
5,7,0.05,NaN,NaN,NaN,5.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
5,8,0.037,NaN,NaN,NaN,4.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
3,0,0.153,NaN,NaN,NaN,50.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,0,,,,,
1,1,0.102,NaN,NaN,NaN,35.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
1,2,0.084,NaN,NaN,NaN,24.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
1,3,0.101,NaN,NaN,NaN,13.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
1,0,0.119,NaN,NaN,NaN,41.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
2,1,0.134,NaN,NaN,NaN,43.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
2,2,0.121,NaN,NaN,NaN,32.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
2,3,0.091,NaN,NaN,NaN,19.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
2,0,0.108,NaN,NaN,NaN,45.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
3,1,0.152,NaN,NaN,NaN,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
3,2,0.138,NaN,NaN,NaN,34.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
3,3,0.115,NaN,NaN,NaN,22.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
3,4,0.087,NaN,NaN,NaN,12.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
3,5,0.063,NaN,NaN,NaN,7.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
4,1,0.169,NaN,NaN,NaN,47.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
4,2,0.156,NaN,NaN,NaN,37.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
4,3,0.138,NaN,NaN,NaN,27.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
4,4,0.106,NaN,NaN,NaN,16.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
4,5,0.063,NaN,NaN,NaN,4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
4,6,0.083,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
4,0,0.173,NaN,NaN,NaN,50.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
5,1,0.18,NaN,NaN,NaN,47.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
5,2,0.141,NaN,NaN,NaN,36.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
5,3,0.135,NaN,NaN,NaN,25.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
5,4,0.112,NaN,NaN,NaN,15.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
5,5,0.092,NaN,NaN,NaN,8.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
5,6,0.069,NaN,NaN,NaN,6.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
5,7,0.052,NaN,NaN,NaN,5.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
5,8,0.046,NaN,NaN,NaN,4.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
3,0,0.163,NaN,NaN,NaN,41.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,4,2,1,1,,,,,
