Row,Col,D_Base,D_Med,D_MedT,D_Tip,S_Total,S_Prox,S_Dist,M_Total,M_Prox,M_Dist,Slope_R,Slope_D,Ratio_R,DatasetID,RatNum,Strain,Sex,Side,,Legend:,,,
5,2,0.17467,NaN,NaN,0.00633,34,NaN,NaN,NaN,NaN,NaN,0.00248,0.00495,28,3,1,3,1,NaN,,,,,
5,3,0.15,NaN,NaN,0.00333,26,NaN,NaN,NaN,NaN,NaN,0.00282,0.00564,45,3,1,3,1,NaN,,,,,
5,4,0.11467,NaN,NaN,0.003,18,NaN,NaN,NaN,NaN,NaN,0.0031,0.0062,38,3,1,3,1,NaN,,,,,
2,0,0.18,NaN,NaN,0.005,52,NaN,NaN,NaN,NaN,NaN,0.00168,0.00337,36,4,1,3,0,NaN,,,,,
1,1,0.169,NaN,NaN,0.005,44,NaN,NaN,NaN,NaN,NaN,0.00186,0.00373,34,4,1,3,0,NaN,,,,,
1,2,0.122,NaN,NaN,0.005,30.5,NaN,NaN,NaN,NaN,NaN,0.00192,0.00384,24,4,1,3,0,NaN,,,,,
1,3,0.111,NaN,NaN,0.005,22,NaN,NaN,NaN,NaN,NaN,0.00241,0.00482,22,4,1,3,0,NaN,,,,,
1,4,0.088,NaN,NaN,0.005,14,NaN,NaN,NaN,NaN,NaN,0.00296,0.00593,18,4,1,3,0,NaN,,,,,
1,0,0.2088,NaN,NaN,0.004,52,NaN,NaN,NaN,NaN,NaN,0.00197,0.00394,52,5,1,1,1,NaN,,,,,
2,0,0.144275,NaN,NaN,0.00195,54,NaN,NaN,NaN,NaN,NaN,0.00132,0.00264,74,5,1,1,1,NaN,,,,,
3,0,0.2016,NaN,NaN,0.008,60,NaN,NaN,NaN,NaN,NaN,0.00161,0.00323,25,5,1,1,1,NaN,,,,,
4,0,0.171,NaN,NaN,0.00475,56,NaN,NaN,NaN,NaN,NaN,0.00148,0.00297,36,5,1,1,1,NaN,,,,,
1,1,0.1392,NaN,NaN,0.003,49,NaN,NaN,NaN,NaN,NaN,0.00139,0.00278,46,5,1,1,1,NaN,,,,,
2,1,0.189,NaN,NaN,0.00525,49,NaN,NaN,NaN,NaN,NaN,0.00188,0.00375,36,5,1,1,1,NaN,,,,,
3,1,0.2196,NaN,NaN,0.0055,53,NaN,NaN,NaN,NaN,NaN,0.00202,0.00404,40,5,1,1,1,NaN,,,,,
4,1,0.252,NaN,NaN,0.0035,49,NaN,NaN,NaN,NaN,NaN,0.00254,0.00507,72,5,1,1,1,NaN,,,,,
5,1,0.1872,NaN,NaN,0.0095,48,NaN,NaN,NaN,NaN,NaN,0.00185,0.0037,20,5,1,1,1,NaN,,,,,
1,2,0.1334,NaN,NaN,0.01425,37,NaN,NaN,NaN,NaN,NaN,0.00161,0.00322,9,5,1,1,1,NaN,,,,,
2,2,0.162,NaN,NaN,0.0465,31,NaN,NaN,NaN,NaN,NaN,0.00186,0.00373,3,5,1,1,1,NaN,,,,,
3,2,0.116725,NaN,NaN,0.00525,30,NaN,NaN,NaN,NaN,NaN,0.00186,0.00372,22,5,1,1,1,NaN,,,,,
4,2,0.18,NaN,NaN,0.01,35,NaN,NaN,NaN,NaN,NaN,0.00243,0.00486,18,5,1,1,1,NaN,,,,,
5,2,0.171,NaN,NaN,0.011,35,NaN,NaN,NaN,NaN,NaN,0.00229,0.00457,16,5,1,1,1,NaN,,,,,
